view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
2,8,12,5.6931224080023009e-18,1.0306768845316152e-16,3.3073420380595504e-10,8.3274078867746885e-20,2.7880584841915348e-22,0.43631732086656927,69.272691881272436,12,0,12,12,0.55987392021878246,0.55987392021877491,7.4856706120188243e-15,2.0250467969162855e-13,6.5139397665133402e-21,5.2111518132106744e-21
2,9,5,1.2422978311856789e-17,1.0306768845316152e-16,2.5204438545062218e-10,7.0488484493371885e-20,2.1872413342800262e-22,0.50667387494185845,100.06810356087273,5,0,5,5,1.1223183074804799,1.1223183074805334,-5.3555163775920179e-14,2.2648549702353193e-13,6.8856949418141534e-21,1.6663152830369153e-21
2,10,4,4.445071078233244e-18,1.0306768845316152e-16,2.4747922916885408e-10,6.4768316222159026e-20,2.7614668298724476e-22,0.30153444889877257,93.008308327714786,4,0,4,4,1.2624731776026843,1.2624731776027405,-5.6222116805865197e-14,1.9984014443252818e-13,4.3030893095847405e-21,1.344376790998214e-21
2,11,1,1.1112924572848852e-16,1.0306768845316152e-16,3.4829414122879839e-10,8.9300707166117037e-20,1.2678805660541421e-23,2.3358217948800677,1.6676029139472395,1,0,1,1,5.4560418858152495,5.4560418858150026,2.4691360067663481e-13,2.4691360067663481e-13,0,0
2,12,1,8.0242164737873582e-18,1.0306768845316152e-16,4.035434198219221e-10,1.0432344477715031e-19,2.4783103446658288e-22,2.389383011377658,4.1779662562004187,1,0,1,1,5.7091232173061979,5.7091232173057644,4.3343106881366111e-13,4.3343106881366111e-13,2.7697557849768427e-21,3.4621947312210538e-22
2,13,1,1.1106497779078014e-16,1.0306768845316152e-16,4.4855152136667718e-10,1.1797916186134953e-19,2.6925144262756144e-22,2.5820951265118546,9.8036822496572107,1,0,1,1,6.6671726381803946,6.6671726381801619,2.3270274596143281e-13,2.3270274596143281e-13,0,3.5088920897525366e-22
2,14,1,1.1107287163024434e-16,1.0306768845316152e-16,4.8361322380044691e-10,1.2841576536558319e-19,4.3066870998328238e-22,2.4983714424778003,15.157598591536154,1,0,1,1,6.2418130817596484,6.2418130817593562,2.922107000813412e-13,2.922107000813412e-13,2.1326554491075219e-21,1.4217702994050149e-21
2,15,1,1.1102638463883203e-16,1.0306768845316152e-16,4.5004455568366473e-10,1.1889317365663955e-19,5.9478777079002156e-23,2.5548080866296474,19.173973579746765,1,0,1,1,6.5269841884844713,6.5269841884843469,1.2434497875801753e-13,1.2434497875801753e-13,3.5915507517931906e-22,0
2,16,1,1.1103219906019808e-16,1.0306768845316152e-16,2.9097719658942349e-10,1.1879374844555283e-19,2.8189231284485388e-22,2.3560184389737806,21.567480417306346,1,0,1,1,5.5507662204118127,5.5507662204117247,8.7929663550312398e-14,8.7929663550312398e-14,0,0
2,17,1,7.5229133542779794e-19,1.0306768845316152e-16,3.1295418873672604e-10,1.1860814293484813e-19,1.580363568542704e-22,2.0234892591240139,21.295314085896408,1,0,1,1,4.0944663760341529,4.0944663760338686,2.8421709430404007e-13,2.8421709430404007e-13,7.2985354077038322e-22,3.6492677038519171e-22
2,18,1,2.2204503776518751e-16,1.0306768845316152e-16,3.7007127585417326e-10,9.2946515643950942e-20,1.8569031065863428e-22,1.6655463327744027,17.805536425968086,1,0,1,1,2.7740175802060834,2.774017580206158,-7.460698725481052e-14,7.460698725481052e-14,7.3280436071787132e-22,3.6640218035893561e-22
