suite,parameter,parameter_value,cases,certified_rate,fallback_required_rate,pass_rate,regular_count,boundary_count,affine_count,mean_iterations,max_iterations,mean_bisections,max_bisections,max_normalized_feasibility_residual,max_normalized_kkt_residual,min_endpoint_margin,max_normalized_rank_two_identity_residual,max_residual_root_condition,max_condition_to_bound_ratio,max_hessian_condition,max_relative_reconstruction_error,max_lambda_bar_absolute_error,max_lambda_bar_relative_error
common_coefficient_scale,scale,1.00000000000000000e+20,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,2.31310948434418939e-16,6.80265022308205374e-17,3.99999999999999967e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,4.40606103446415495e-16,1.11022302462515654e-16,1.11022302462515654e-16
common_coefficient_scale,scale,1.00000000000000008e+50,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,7.00019975525215099e-17,7.93954881560923533e-17,3.99999999999999967e-01,4.95055763405761747e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,2.30555126737810169e-16,2.22044604925031308e-16,2.22044604925031308e-16
common_coefficient_scale,scale,1.00000000000000002e+100,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,2.31310948434418939e-16,1.14592883360569844e-16,3.99999999999999967e-01,4.09726013925640368e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,3.61888430622384025e-16,2.22044604925031308e-16,2.22044604925031308e-16
common_coefficient_scale,scale,9.99999999999999981e+149,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,1.09141010018378918e-16,3.99999999999999967e-01,5.36064255382944059e-17,5.70606801357417370e-01,1.19516689317229169e-01,4.00000000000000089e+00,2.45130606544514899e-16,1.11022302462515654e-16,1.11022302462515654e-16
common_coefficient_scale,scale,9.99999999999999970e+199,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,2.31310948434418939e-16,5.29131482349703039e-17,3.99999999999999967e-01,2.99516991203837298e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,2.88444402957534597e-16,2.22044604925031308e-16,2.22044604925031308e-16
endpoint_margin,one_minus_mu,0.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0,4,0,0.00000000000000000e+00,0,0.00000000000000000e+00,0,3.38276642412824877e-17,3.81268727748509404e-17,0.00000000000000000e+00,2.07310163548833208e-17,0.00000000000000000e+00,0.00000000000000000e+00,inf,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,9.99999999999999980e-13,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.50000000000000000e+01,85,4.10000000000000000e+01,41,7.24058494320844502e-17,1.12875448189345982e-16,9.99866855977610255e-13,3.46944695195419228e-17,1.21749821221245581e-11,1.74975405352019574e-12,2.00026632350316211e+12,4.11681715778192846e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,1.00000000000000004e-10,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,7.10000000000000000e+01,71,3.30000000000000000e+01,33,5.63794404031696690e-17,6.87237502344490673e-17,9.99999287449291983e-11,2.02601704425434446e-17,1.21723331519273549e-09,1.74999781140983901e-10,2.00000142500243149e+10,4.44089209850062616e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,1.00000000000000002e-08,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.80000000000000000e+01,58,2.70000000000000000e+01,27,7.21759896841368430e-17,1.12268926723046772e-16,9.99999997943546631e-09,2.41051743154232294e-17,1.21723445925529592e-07,1.74999977549503249e-08,1.99999999411290675e+08,4.79207207633265389e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,9.99999999999999955e-07,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,4.50000000000000000e+01,45,2.20000000000000000e+01,22,1.05179039070135240e-16,1.65388209683485278e-16,9.99999999962519594e-07,6.37629436906982070e-17,1.21722120680865899e-05,1.74997904206867740e-06,1.99999900007496076e+06,8.50969834418118872e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,1.00000000000000005e-04,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,3.10000000000000000e+01,31,1.30000000000000000e+01,13,2.33978961262649185e-16,1.18862186310393045e-16,9.99999999998693313e-05,1.55405843457845411e-17,1.21589980977967571e-03,1.74790669186885482e-04,1.99990000000261352e+04,5.71522281777425745e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,1.00000000000000002e-02,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,1.80000000000000000e+01,18,7.00000000000000000e+00,7,4.81784380122591289e-17,9.29076867528684066e-17,9.99999999999999327e-03,2.00274587644848579e-17,1.09605909054563841e-01,1.56297057838164326e-02,1.99000000000000142e+02,4.65736626711736920e-16,0.00000000000000000e+00,0.00000000000000000e+00
endpoint_margin,one_minus_mu,1.00000000000000006e-01,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,1.10000000000000000e+01,11,2.50000000000000000e+00,3,3.44596324351778156e-17,4.80443585881411724e-17,9.99999999999999500e-02,5.39467225542050412e-17,5.54804057495270619e-01,7.98373943923560703e-02,1.90000000000000107e+01,3.21867807355425356e-16,2.22044604925031308e-16,1.82075278726451767e-16
endpoint_margin,one_minus_mu,5.00000000000000000e-01,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,1.22500000000000000e+01,30,7.00000000000000000e+00,28,9.89255192643953373e-15,1.08147573204665976e-16,4.99999999999991118e-01,8.97804254932197862e-17,4.65097755401720270e-01,1.22472682349665893e-01,3.00000000000007105e+00,1.50295865318141785e-14,7.16093850883225969e-15,7.16093850883225969e-15
near_equal_singular_values,one_minus_b_over_a,0.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,6.03382078600628522e-17,6.75265892340575945e-17,4.00000000000000022e-01,1.25195076661413240e-16,3.33000000000000018e-01,1.08800000000000105e-01,4.00000000000000000e+00,2.35513868802566238e-16,5.55111512312578270e-17,5.55111512312578270e-17
near_equal_singular_values,one_minus_b_over_a,9.99999999999999999e-15,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,7.84396702180817153e-17,7.97540047936206460e-17,4.00000000000000022e-01,6.80357043821272612e-17,3.33000000000004071e-01,1.08800000000000494e-01,4.00000000000000000e+00,1.24126707662363656e-16,0.00000000000000000e+00,0.00000000000000000e+00
near_equal_singular_values,one_minus_b_over_a,9.99999999999999980e-13,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,9.65411325761017493e-17,1.03610097663209606e-16,3.99999999999999856e-01,1.09155872550862089e-16,3.33000000000408247e-01,1.08800000000044833e-01,4.00000000000000178e+00,5.48128699599290049e-16,1.66533453693773481e-16,1.66533453693773481e-16
near_equal_singular_values,one_minus_b_over_a,1.00000000000000004e-10,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,8.44734910044846398e-17,4.85423861957283704e-17,4.00000000000000022e-01,1.78672523211921518e-16,3.33000000040837574e-01,1.08800000004486183e-01,4.00000000000000000e+00,4.61944842852591818e-16,1.66533453693773481e-16,1.66533453693773481e-16
near_equal_singular_values,one_minus_b_over_a,1.00000000000000002e-08,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,7.24058494408480046e-17,6.37582936459135247e-17,3.99999999999999967e-01,1.17767676311547902e-16,3.33000004083750079e-01,1.08800000448615361e-01,4.00000000000000089e+00,2.35513868802566238e-16,1.11022302462515654e-16,1.11022302462515654e-16
near_equal_singular_values,one_minus_b_over_a,9.99999999999999955e-07,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,1.20676426015203044e-16,6.11114451496798927e-17,4.00000000000000022e-01,1.05992724941005308e-16,3.33000408375057955e-01,1.08800044861465980e-01,4.00000000000000000e+00,3.28408399535829794e-16,5.55111512312578270e-17,5.55111512312578270e-17
near_equal_singular_values,one_minus_b_over_a,1.00000000000000005e-04,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,1.56879530522105133e-16,6.24019595730184770e-17,3.99999999999999911e-01,1.50148628279485032e-16,3.33040838077960699e-01,1.08804485429230421e-01,4.00000000000000089e+00,3.04047097224405882e-16,1.11022302462515654e-16,1.11022302462515654e-16
near_equal_singular_values,one_minus_b_over_a,1.00000000000000002e-02,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,4.83142953053746566e-17,8.89402447494102248e-17,3.99999999999999911e-01,6.86980482655515383e-17,3.37089692542443364e-01,1.09241438662884618e-01,4.00000000000000089e+00,1.84109660314757385e-16,1.11022302462515654e-16,1.11022302462515654e-16
